# АНОН МГН — Битва мнений
# Часть 2: вопросы 101–200
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары ответов не повторяются с частью 001–100.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

101 | Что выберешь на обед? | гречка с мясом | макароны с сыром | еда
102 | Что вкуснее к фильму? | начос | сырные палочки | еда
103 | Что выберешь из домашней еды? | борщ | солянка | еда
104 | Что лучше на жаре? | арбуз | холодный компот | еда
105 | Что выберешь в кофейне? | раф | капучино | еда
106 | Что вкуснее? | чебурек | беляш | еда
107 | Что выберешь к завтраку? | хлопья с молоком | йогурт с фруктами | еда
108 | Что лучше на перекус? | орехи | батончик | еда
109 | Что выберешь вечером? | паста | пельмени | еда
110 | Что вкуснее из выпечки? | самса | слойка | еда
111 | Что выберешь к чаю? | медовик | наполеон | еда
112 | Что лучше зимой? | горячий шоколад | чай с лимоном | еда
113 | Что выберешь из ягод? | малина | черника | еда
114 | Что вкуснее? | манго | ананас | еда
115 | Что выберешь на поздний перекус? | бутерброд | йогурт | еда
116 | Что лучше для встречи в Магнитогорске? | Гостиный двор | Континент | мгн
117 | Куда приятнее пойти погулять? | парк у Вечного огня | набережная | мгн
118 | Что больше нравится в городе? | спокойные дворы | оживлённый центр | мгн
119 | Как лучше провести вечер в МГН? | прокатиться по городу | посидеть в кофейне | мгн
120 | Что выберешь зимой? | каток | тёплое кафе | мгн
121 | Что приятнее летом? | вечерняя прогулка | дневная прогулка | мгн
122 | Что выберешь для первой встречи? | центр города | тихий парк | мгн
123 | Как лучше добираться по городу? | общественный транспорт | такси | мгн
124 | Что тебе ближе? | Ленинский район | Орджоникидзевский район | мгн
125 | Какой вид города приятнее? | вид с высоты | вид с набережной | мгн
126 | Что лучше после учёбы? | зайти перекусить | сразу идти гулять | мгн
127 | Где лучше делать фото? | в центре | в парке | мгн
128 | Что выберешь вечером с друзьями? | кино | кафе | мгн
129 | Что больше нравится в Магнитогорске? | ночные огни | зимний снег | мгн
130 | Какой формат прогулки лучше? | долго ходить по городу | сидеть и разговаривать | мгн
131 | Что важнее при знакомстве? | лёгкость в общении | чувство юмора | общение
132 | Что приятнее получить первым? | приветствие | смешной вопрос | общение
133 | Как лучше начать разговор? | с вопроса | с шутки | общение
134 | Что важнее в переписке? | быстрые ответы | интересные ответы | общение
135 | Что тебе ближе? | обсуждать жизнь | обсуждать приколы | общение
