# АНОН МГН — Битва мнений
# Часть 3: вопросы 201–300
# В этой части есть мат/дерзкий юмор, но без алкоголя и других опасных веществ.
# Каждый вопрос имеет 2 логичных сопоставимых ответа.
# Пары не повторяются с вопросами 001–200.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

201 | Что бесит сильнее? | когда отвечают «ясно» | когда просто игнорят | рофл
202 | Что кринжовее? | слишком пафосный статус | слишком серьёзная ава | рофл
203 | Что хуже утром? | разряженный телефон | проспать будильник | жизнь
204 | Что заебывает сильнее? | медленный интернет | вечные обновления | рофл
205 | Что смешнее? | случайно отправить голосовое | случайно лайкнуть старую фотку | рофл
206 | Что неприятнее? | наступить в лужу | сесть на мокрую лавку | жизнь
207 | Что хуже в переписке? | односложные ответы | ответ через пять часов | общение
208 | Что выберешь ради рофла? | смешной ник на неделю | дурацкую аву на неделю | рофл
209 | Что бесит сильнее? | реклама перед видео | реклама посреди видео | интернет
210 | Что хуже потерять на день? | наушники | зарядку | техника
211 | Что лучше для вечерней встречи в МГН? | прогулка у воды | посиделки в кофейне | мгн
212 | Что выберешь в Магнитогорске зимой? | гулять по снегу | сидеть в тёплом помещении | мгн
213 | Что приятнее в городе вечером? | тихие улицы | оживлённый центр | мгн
214 | Как лучше провести пару часов в МГН? | гулять без цели | зайти куда-нибудь поесть | мгн
215 | Что выберешь для встречи с новым человеком? | людное место | спокойное место | мгн
216 | Что больше нравится в Магнитогорске? | вид на город сверху | прогулка вдоль воды | мгн
217 | Что лучше после долгого дня? | прокатиться по городу | пойти пешком домой | мгн
218 | Что выберешь с друзьями? | посидеть в ТЦ | пойти гулять по району | мгн
219 | Что атмосфернее в МГН? | морозный вечер | тёплая летняя ночь | мгн
220 | Что лучше для фоток? | городские огни | закат над городом | мгн
221 | Что выберешь на плотный перекус? | шаурма | хачапури | еда
222 | Что вкуснее к чаю? | пряники | сушки | еда
223 | Что выберешь на завтрак? | каша | яичница | еда
224 | Что лучше на жаре? | холодный морс | минералка | еда
225 | Что выберешь вечером? | кесадилья | буррито | еда
226 | Что вкуснее? | черешня | персик | еда
227 | Что лучше под фильм? | сырные шарики | попкорн | еда
228 | Что выберешь на десерт? | брауни | эклер | еда
229 | Что вкуснее из домашнего? | котлеты с пюре | макароны с мясом | еда
230 | Что выберешь в кафе? | сэндвич | панини | еда
231 | Что важнее в общении? | уметь слушать | уметь поддерживать тему | общение
232 | Что приятнее от друга? | неожиданное сообщение | неожиданный звонок | дружба
233 | Что лучше после долгой паузы в общении? | сразу написать как ни в чём не бывало | сначала объяснить пропажу | общение
234 | Что ценнее в дружбе? | честный совет | молчаливая поддержка | дружба
235 | Что легче простить? | глупую шутку | забытое обещание | дружба
236 | Что лучше сближает? | совместный рофл | серьёзный разговор | дружба
237 | Что важнее в компании? | чтобы было весело | чтобы было комфортно | общение
