# АНОН МГН — Битва мнений
# Часть 4: вопросы 301–400
# Здесь больше Магнитогорска: Гостинка, Семейный парк, Ашан, Притяжение, Аллея и городские варианты.
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары не повторяются с вопросами 001–300.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

301 | Куда бы ты скорее пошёл погулять? | Парк Притяжение | Аллея | мгн
302 | Где лучше зависнуть с друзьями? | Гостинка | Аллея | мгн
303 | Куда лучше сходить просто погулять? | Парк Притяжение | центр города | мгн
304 | Что выберешь на вечер? | Гостинка | парк у Вечного огня | мгн
305 | Где приятнее встретиться впервые? | Аллея | кофейня в центре | мгн
306 | Куда бы ты пошёл, если скучно? | Ашан в Семейном парке | Гостинка | мгн
307 | Что лучше для спокойной прогулки? | Аллея | парк у Вечного огня | мгн
308 | Где лучше гулять большой компанией? | Парк Притяжение | центр Магнитогорска | мгн
309 | Что выберешь летом? | вечер в Притяжении | вечер на Аллее | мгн
310 | Куда лучше пойти в плохую погоду? | Гостинка | Семейный парк | мгн
311 | Что больше по вайбу? | Гостинка вечером | Притяжение вечером | мгн
312 | Куда скорее поедешь за покупками? | Семейный парк | Гостиный двор | мгн
313 | Где лучше просто поболтать? | Аллея | тихий двор | мгн
314 | Что выберешь для свидания? | Парк Притяжение | Гостинка | мгн
315 | Где атмосфернее вечером? | Аллея | центр города | мгн
316 | Где тебе было бы комфортнее жить? | ближе к центру | ближе к окраине | мгн
317 | Что выберешь для жизни? | шумный район | тихий район | мгн
318 | Что выберешь для фоток? | Притяжение | парк у Вечного огня | мгн
319 | Где лучше встретиться после учёбы? | Гостинка | кофейня рядом с домом | мгн
320 | Что приятнее вечером? | гулять по Аллее | кататься по городу | мгн
321 | Куда лучше пойти вдвоём? | Притяжение | тихий двор | мгн
322 | Где удобнее встретиться большой компанией? | Гостиный двор | центр города | мгн
323 | Что выберешь в выходной? | поехать в Притяжение | остаться в своём районе | мгн
324 | Что тебе ближе? | движ в центре | спокойствие на районе | мгн
325 | Куда скорее пойдёшь перекусить? | Гостинка | Ашан | мгн
326 | Что лучше для долгой прогулки? | Притяжение | Аллея и центр | мгн
327 | Где приятнее гулять ночью? | в центре | в Притяжении | мгн
328 | Что выберешь зимой? | Семейный парк | Притяжение | мгн
329 | Где лучше назначить встречу незнакомому человеку? | у входа в ТЦ | в людном парке | мгн
330 | Что больше похоже на твой идеальный вечер? | Притяжение и прогулка | Гостинка и еда | мгн
331 | Что выберешь на ужин? | картошка с мясом | паста с курицей | еда
332 | Что вкуснее? | донер | бургер | еда
333 | Что лучше на завтрак? | овсянка с фруктами | тосты с сыром | еда
334 | Что выберешь к чаю? | шарлотка | сырники | еда
335 | Что приятнее летом? | холодный арбуз | мороженое в стаканчике | еда
336 | Что вкуснее? | куриные крылышки | наггетсы | еда
337 | Что выберешь на ходу? | хот-дог | сэндвич | еда
338 | Что лучше вечером? | роллы | пицца | еда
339 | Что выберешь из сладкого? | пончики | брауни | еда
340 | Что вкуснее из домашнего? | картошка-пюре | гречка | еда
