# АНОН МГН — Битва мнений
# Часть 6: вопросы 501–600
# Темы: работа, деньги, покупки, iPhone и техника.
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары не повторяются с вопросами 001–500.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

501 | Что важнее в работе? | хорошая зарплата | приятный коллектив | работа
502 | Что выберешь? | работать из дома | работать в офисе | работа
503 | Что лучше? | стабильная работа | интересная работа | работа
504 | Что важнее при выборе работы? | график | зарплата | работа
505 | Что выберешь? | работать 5/2 | работать 2/2 | работа
506 | Что лучше? | начинать рано и заканчивать рано | начинать позже и заканчивать позже | работа
507 | Что важнее? | любить свою работу | много зарабатывать | работа
508 | Что выберешь? | работать одному | работать в команде | работа
509 | Что приятнее? | получить премию | получить дополнительный выходной | работа
510 | Что важнее у начальника? | справедливость | спокойный характер | работа
511 | Что лучше? | одна работа надолго | часто пробовать новое | работа
512 | Что выберешь? | свой проект | работа в крупной компании | работа
513 | Что важнее? | опыт | диплом | работа
514 | Что лучше для старта? | стажировка | сразу полноценная работа | работа
515 | Что важнее? | удобный график | короткая дорога до работы | работа
516 | Что выберешь? | работать много и больше получать | работать меньше и получать меньше | работа
517 | Что приятнее? | повышение зарплаты | повышение должности | работа
518 | Что лучше? | чёткие задачи | свобода в работе | работа
519 | Что важнее в коллективе? | уважение | юмор | работа
520 | Что выберешь? | работу рядом с домом | работу подальше, но интереснее | работа
521 | Что легче? | работать утром | работать вечером | работа
522 | Что выберешь? | физическую работу | работу за компьютером | работа
523 | Что важнее? | быстро расти в должности | чувствовать себя спокойно на работе | работа
524 | Что лучше? | работать по инструкции | самому решать, как делать | работа
525 | Что выберешь? | работать с людьми | работать с техникой | работа
526 | Что приятнее? | когда хвалит начальник | когда благодарит клиент | работа
527 | Что важнее? | стабильный доход | возможность много заработать | работа
528 | Что выберешь? | работу без дресс-кода | работу с красивой формой | работа
529 | Что лучше? | одна длинная смена | две короткие смены | работа
530 | Что важнее? | не перерабатывать | иметь хорошие бонусы | работа
531 | Что выберешь? | работать в центре города | работать рядом с домом | работа
532 | Что лучше? | много общения на работе | минимум общения на работе | работа
533 | Что важнее? | надёжный начальник | сильная команда | работа
534 | Что выберешь? | карьерный рост | больше свободного времени | работа
535 | Что приятнее? | закончить смену раньше | получить больше денег за смену | работа
536 | Что выберешь? | копить на большую покупку | тратить понемногу на приятное | деньги
537 | Что важнее? | иметь финансовую подушку | иметь деньги на развлечения | деньги
538 | Что выберешь? | дорогой телефон | дорогой компьютер | деньги
539 | На что скорее потратишь деньги? | одежда | техника | деньги
540 | Что лучше? | купить новое | купить б/у дешевле | деньги
541 | Что выберешь? | одну дорогую покупку | несколько маленьких покупок | деньги
542 | Что важнее? | цена | качество | деньги
543 | Что выберешь? | потратить на поездку | потратить на новую вещь | деньги
544 | Что приятнее? | получить деньги | получить желанный подарок | деньги
545 | Что лучше? | покупать сразу | ждать скидку | деньги
546 | Что выберешь? | копить наличными | держать деньги на карте | деньги
547 | Что важнее? | много зарабатывать | уметь нормально распоряжаться деньгами | деньги
548 | Что выберешь? | дорогие кроссовки | дорогие наушники | деньги
549 | На что не жалко денег? | еда | развлечения | деньги
550 | Что выберешь? | обновить телефон | обновить компьютер | деньги
551 | Что приятнее? | найти скидку | получить кэшбэк | деньги
552 | Что лучше? | покупать редко, но качественно | покупать чаще, но дешевле | деньги
553 | Что выберешь? | потратить деньги на себя | потратить деньги на подарок близкому | деньги
554 | Что важнее? | иметь накопления | не отказывать себе в мелочах | деньги
555 | Что выберешь? | дорогую одежду | дорогой смартфон | деньги
556 | Что лучше? | подарочная карта | деньги на карту | деньги
557 | Что приятнее купить? | новые наушники | новые кроссовки | деньги
558 | Что выберешь? | копить несколько месяцев | взять более дешёвый вариант сразу | деньги
559 | Что важнее при покупке техники? | дизайн | характеристики | деньги
560 | Что выберешь? | экономить на доставке | заплатить за быструю доставку | деньги
561 | Что приятнее? | неожиданная премия | неожиданный подарок | деньги
562 | Что выберешь? | потратить на кафе | потратить на кино | деньги
563 | Что лучше? | иметь одну банковскую карту | иметь несколько карт | деньги
564 | Что выберешь? | покупать онлайн | покупать в магазине | деньги
